Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
HARRIS CNTY PUB LIBR	HT#	TX	Public	4	0	0	2	2	0	2	0	0:12:00	0:12:00	0:00:00
HARVARD UNIV	HUL	MA	Academic	6	6	0	1	1	0	5	0	1:00:00	1:00:00	0:00:00
HASTINGS COL	NBH	NE	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HAVRE-HILL CNTY LIBR	YVZ	MT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HELEN PLUM LIBR	JFL	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HENDERSON DIST PUB LIBR	H4N	NV	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
HENNEPIN CNTY LIBR	HCO	MN	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
HILLSBORO PUB LIBR	OOV	OR	Public	13	13	0	8	8	0	5	0	1:12:00	1:12:00	0:00:00
HINSDALE PUB LIBR	TL9	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HORRY CNTY MEM LIBR	SHM	SC	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HOUGHTON COLL	VXO	NY	Academic	6	6	0	6	6	0	0	0	1:12:00	1:12:00	0:00:00
HOUSTON PUB LIBR	TXN	TX	Public	3	0	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
HOWARD CNTY LIBR SYST	HO$	MD	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
HUMBOLDT CNTY LIBR	EHU	CA	Public	3	3	0	3	3	0	1	0	1:00:00	1:00:00	0:00:00
HUNTLEY AREA PUB LIBR DIST	GL7	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HUNTSVILLE MADISON CNTY PUB LIBR	MWD	AL	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
HUTCHINSON PUB LIBR	KAH	KS	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HUTTO PUB LIB	TXHUT	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
IFLS LIBR SYST	GHI	WI	Public	7	7	0	5	5	0	3	0	1:04:48	1:04:48	0:00:00
ILLINOIS COL	ICH	IL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
INDIAN TRAILS PUB LIBR DIST	JAG	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
INDIANA ST LIB	SHARE	IN	State or Municipal Governments	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
INDIANA UNIV - INDIANAPOLIS LIBR	IUP	IN	Academic	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
IOWA LIBR SERVS-CENT DIST OFF	JIC	IA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
IOWA LIBR SERVS-N CENT DIST OFF	LT@	IA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
IOWA STATE UNIV	IWA	IA	Major Academic Research	2	2	0	1	1	0	1	0	3:00:00	3:00:00	0:00:00
IRENE INGLE PUB LIBR	I@I	AK	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
IRON CNTY BOOKMOBILE LIBR	UTIRN	UT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
IRVING PUB LIBR SYST	IJC	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
JACKSON CNTY LIBR SVC	JCL	OR	Public	17	17	0	7	7	0	10	0	0:20:38	0:20:38	0:00:00
JACKSON DIST LIBR	EJ4	MI	Public	7	7	0	0	0	0	7	0	0:00:00	0:00:00	0:00:00
JACKSON/HINDS LIBR SYST	MJP	MS	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
JAMES MADISON UNIV LIBRS	VMC	VA	Academic	2	2	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
JEFFERSON CNTY LIBR	MJ8	MO	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
JEFFERSON CNTY PUB LIBR	QQ3	CO	Public	16	16	0	5	5	0	12	0	1:14:24	1:14:24	0:00:00
JEFFERSON CNTY RURAL LIBR DIST	Z85	WA	Public	8	8	0	5	5	0	3	0	2:00:00	2:00:00	0:00:00
JESSAMINE CNTY PUB LIBR	KP9	KY	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
JOE BARNHART BEE CNTY LIBR	BNR	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
